1,1,2014,0,45
2,1,2014,1,32
3,1,2014,2,38
4,1,2014,3,38
5,1,2014,4,34
6,1,2014,5,28
7,1,2014,6,95
8,1,2014,0,36
9,1,2014,1,28
10,1,2014,2,36
11,1,2014,3,34
12,1,2014,4,35
13,1,2014,5,33
14,1,2014,6,80
15,1,2014,0,31
16,1,2014,1,30
17,1,2014,2,36
18,1,2014,3,44
19,1,2014,4,42
20,1,2014,5,32
21,1,2014,6,87
22,1,2014,0,28
23,1,2014,1,30
24,1,2014,2,41
25,1,2014,3,30
26,1,2014,4,33
27,1,2014,5,43
28,1,2014,6,89
29,1,2014,0,29
30,1,2014,1,34
1,2,2014,2,25
2,2,2014,3,32
3,2,2014,4,28
4,2,2014,5,36
5,2,2014,6,83
6,2,2014,0,30
7,2,2014,1,34
8,2,2014,2,40
9,2,2014,3,34
10,2,2014,4,28
11,2,2014,5,34
12,2,2014,6,88
13,2,2014,0,33
14,2,2014,1,25
15,2,2014,2,26
16,2,2014,3,37
17,2,2014,4,30
18,2,2014,5,28
19,2,2014,6,81
20,2,2014,0,45
21,2,2014,1,28
22,2,2014,2,26
23,2,2014,3,37
24,2,2014,4,28
25,2,2014,5,44
26,2,2014,6,82
27,2,2014,0,45
28,2,2014,1,34
29,2,2014,2,35
30,2,2014,3,32
1,3,2014,4,34
2,3,2014,5,31
3,3,2014,6,91
4,3,2014,0,34
5,3,2014,1,25
6,3,2014,2,31
7,3,2014,3,28
8,3,2014,4,40
9,3,2014,5,37
10,3,2014,6,89
11,3,2014,0,39
12,3,2014,1,40
13,3,2014,2,42
14,3,2014,3,42
15,3,2014,4,39
16,3,2014,5,30
17,3,2014,6,87
18,3,2014,0,26
19,3,2014,1,35
20,3,2014,2,45
21,3,2014,3,44
22,3,2014,4,37
23,3,2014,5,25
24,3,2014,6,99
25,3,2014,0,37
26,3,2014,1,44
27,3,2014,2,34
28,3,2014,3,37
29,3,2014,4,42
30,3,2014,5,30
1,4,2014,6,98
2,4,2014,0,26
3,4,2014,1,33
4,4,2014,2,35
5,4,2014,3,31
6,4,2014,4,33
7,4,2014,5,39
8,4,2014,6,100
9,4,2014,0,34
10,4,2014,1,42
11,4,2014,2,43
12,4,2014,3,32
13,4,2014,4,34
14,4,2014,5,44
15,4,2014,6,78
16,4,2014,0,32
17,4,2014,1,30
18,4,2014,2,31
19,4,2014,3,41
20,4,2014,4,35
21,4,2014,5,38
22,4,2014,6,91
23,4,2014,0,25
24,4,2014,1,44
25,4,2014,2,32
26,4,2014,3,35
27,4,2014,4,29
28,4,2014,5,44
29,4,2014,6,87
30,4,2014,0,29
1,5,2014,1,25
2,5,2014,2,39
3,5,2014,3,32
4,5,2014,4,38
5,5,2014,5,35
6,5,2014,6,81
7,5,2014,0,37
8,5,2014,1,39
9,5,2014,2,42
10,5,2014,3,40
11,5,2014,4,43
12,5,2014,5,31
13,5,2014,6,93
14,5,2014,0,36
15,5,2014,1,35
16,5,2014,2,29
17,5,2014,3,30
18,5,2014,4,40
19,5,2014,5,39
20,5,2014,6,97
21,5,2014,0,43
22,5,2014,1,36
23,5,2014,2,30
24,5,2014,3,41
25,5,2014,4,27
26,5,2014,5,34
27,5,2014,6,89
28,5,2014,0,40
29,5,2014,1,27
30,5,2014,2,37
1,6,2014,3,42
2,6,2014,4,44
3,6,2014,5,25
4,6,2014,6,87
5,6,2014,0,34
6,6,2014,1,26
7,6,2014,2,31
8,6,2014,3,40
9,6,2014,4,27
10,6,2014,5,33
11,6,2014,6,83
12,6,2014,0,31
13,6,2014,1,30
14,6,2014,2,37
15,6,2014,3,37
16,6,2014,4,36
17,6,2014,5,33
18,6,2014,6,85
19,6,2014,0,30
20,6,2014,1,42
21,6,2014,2,38
22,6,2014,3,29
23,6,2014,4,34
24,6,2014,5,40
25,6,2014,6,87
26,6,2014,0,42
27,6,2014,1,43
28,6,2014,2,41
29,6,2014,3,32
30,6,2014,4,39
1,7,2014,5,29
2,7,2014,6,84
3,7,2014,0,27
4,7,2014,1,43
5,7,2014,2,27
6,7,2014,3,41
7,7,2014,4,25
8,7,2014,5,34
9,7,2014,6,90
10,7,2014,0,31
11,7,2014,1,45
12,7,2014,2,41
13,7,2014,3,44
14,7,2014,4,44
15,7,2014,5,31
16,7,2014,6,78
17,7,2014,0,33
18,7,2014,1,37
19,7,2014,2,43
20,7,2014,3,25
21,7,2014,4,42
22,7,2014,5,40
23,7,2014,6,89
24,7,2014,0,41
25,7,2014,1,28
26,7,2014,2,42
27,7,2014,3,41
28,7,2014,4,39
29,7,2014,5,28
30,7,2014,6,80
1,8,2014,0,40
2,8,2014,1,30
3,8,2014,2,28
4,8,2014,3,38
5,8,2014,4,43
6,8,2014,5,45
7,8,2014,6,92
8,8,2014,0,29
9,8,2014,1,36
10,8,2014,2,31
11,8,2014,3,25
12,8,2014,4,45
13,8,2014,5,33
14,8,2014,6,99
15,8,2014,0,35
16,8,2014,1,30
17,8,2014,2,35
18,8,2014,3,35
19,8,2014,4,42
20,8,2014,5,29
21,8,2014,6,82
22,8,2014,0,34
