1,1,2014,0,24,84
2,1,2014,1,31,71
3,1,2014,2,41,64
4,1,2014,3,55,51
5,1,2014,4,60,44
6,1,2014,5,74,34
7,1,2014,6,83,21
8,1,2014,0,22,85
9,1,2014,1,32,74
10,1,2014,2,43,63
11,1,2014,3,52,52
12,1,2014,4,65,42
13,1,2014,5,72,30
14,1,2014,6,83,20
15,1,2014,0,25,80
16,1,2014,1,30,74
17,1,2014,2,41,65
18,1,2014,3,54,51
19,1,2014,4,65,42
20,1,2014,5,72,30
21,1,2014,6,82,24
22,1,2014,0,21,82
23,1,2014,1,35,73
24,1,2014,2,41,62
25,1,2014,3,54,55
26,1,2014,4,60,44
27,1,2014,5,73,35
28,1,2014,6,85,25
29,1,2014,0,21,84
30,1,2014,1,30,71
1,2,2014,2,43,64
2,2,2014,3,50,51
3,2,2014,4,60,45
4,2,2014,5,70,35
5,2,2014,6,80,21
6,2,2014,0,22,82
7,2,2014,1,34,71
8,2,2014,2,42,62
9,2,2014,3,51,52
10,2,2014,4,62,44
11,2,2014,5,74,30
12,2,2014,6,83,20
13,2,2014,0,25,82
14,2,2014,1,30,75
15,2,2014,2,40,60
16,2,2014,3,54,51
17,2,2014,4,60,43
18,2,2014,5,73,34
19,2,2014,6,85,21
20,2,2014,0,21,84
21,2,2014,1,32,74
22,2,2014,2,41,65
23,2,2014,3,52,54
24,2,2014,4,61,42
25,2,2014,5,74,31
26,2,2014,6,85,22
27,2,2014,0,20,80
28,2,2014,1,35,72
29,2,2014,2,44,63
30,2,2014,3,55,55
1,3,2014,4,65,43
2,3,2014,5,75,35
3,3,2014,6,80,25
4,3,2014,0,21,84
5,3,2014,1,34,72
6,3,2014,2,42,62
7,3,2014,3,51,51
8,3,2014,4,60,41
9,3,2014,5,70,30
10,3,2014,6,85,20
11,3,2014,0,22,83
12,3,2014,1,35,70
13,3,2014,2,41,63
14,3,2014,3,52,50
15,3,2014,4,64,43
16,3,2014,5,74,33
17,3,2014,6,82,24
18,3,2014,0,22,81
19,3,2014,1,34,74
20,3,2014,2,42,65
21,3,2014,3,52,52
22,3,2014,4,64,44
23,3,2014,5,71,34
24,3,2014,6,85,21
25,3,2014,0,23,84
26,3,2014,1,31,70
27,3,2014,2,41,60
28,3,2014,3,50,53
29,3,2014,4,63,41
30,3,2014,5,73,34
1,4,2014,6,82,21
2,4,2014,0,25,82
3,4,2014,1,35,73
4,4,2014,2,43,65
5,4,2014,3,51,52
6,4,2014,4,63,43
7,4,2014,5,74,33
8,4,2014,6,83,24
9,4,2014,0,25,83
10,4,2014,1,32,75
11,4,2014,2,41,61
12,4,2014,3,55,54
13,4,2014,4,62,45
14,4,2014,5,72,31
15,4,2014,6,83,22
16,4,2014,0,25,81
17,4,2014,1,31,74
18,4,2014,2,45,62
19,4,2014,3,52,53
